open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
13.38,14.54,13.1,14.16,334316200.0,600601.SH,20260625,方正科技,NA,CNY
13.99,14.18,12.96,13.0,253600900.0,600601.SH,20260626,方正科技,NA,CNY
12.96,13.09,12.02,12.58,238676600.0,600601.SH,20260629,方正科技,NA,CNY
12.57,13.84,12.48,13.84,194125200.0,600601.SH,20260630,方正科技,NA,CNY
14.5,14.98,13.85,13.97,392433500.0,600601.SH,20260701,方正科技,NA,CNY
13.62,15.37,13.42,14.92,525485400.0,600601.SH,20260702,方正科技,NA,CNY
15.18,15.76,14.41,15.12,480231700.0,600601.SH,20260703,方正科技,NA,CNY
15.35,15.86,14.6,14.99,359487800.0,600601.SH,20260706,方正科技,NA,CNY
15.0,15.85,14.48,14.7,332252100.0,600601.SH,20260707,方正科技,NA,CNY
14.89,14.99,13.25,13.3,363394100.0,600601.SH,20260708,方正科技,NA,CNY
13.64,13.96,12.93,13.88,295427200.0,600601.SH,20260709,方正科技,NA,CNY
14.08,14.45,13.13,13.18,242650500.0,600601.SH,20260710,方正科技,NA,CNY
13.0,13.94,12.01,12.18,336718100.0,600601.SH,20260713,方正科技,NA,CNY
12.18,12.85,11.65,12.63,288283900.0,600601.SH,20260714,方正科技,NA,CNY
12.69,12.8,11.61,11.71,237187700.0,600601.SH,20260715,方正科技,NA,CNY
11.4,11.98,11.01,11.68,203524500.0,600601.SH,20260716,方正科技,NA,CNY
11.45,11.52,10.51,10.51,251922100.0,600601.SH,20260717,方正科技,NA,CNY
10.63,10.72,9.46,9.72,250000300.0,600601.SH,20260720,方正科技,NA,CNY
9.77,10.64,8.92,10.53,288813900.0,600601.SH,20260721,方正科技,NA,CNY
10.47,11.3,10.28,10.55,223874900.0,600601.SH,20260722,方正科技,NA,CNY
10.64,11.01,10.37,10.53,167085300.0,600601.SH,20260723,方正科技,NA,CNY
10.25,10.44,10.04,10.15,121846500.0,600601.SH,20260724,方正科技,NA,CNY
10.15,10.5,9.96,10.5,126953200.0,600601.SH,20260727,方正科技,NA,CNY
10.2,10.34,9.76,9.81,165347100.0,600601.SH,20260728,方正科技,NA,CNY
9.8,9.88,9.27,9.59,162915400.0,600601.SH,20260729,方正科技,NA,CNY
9.41,9.53,8.68,8.68,214013600.0,600601.SH,20260730,方正科技,NA,CNY
9.3,9.53,9.09,9.19,242332700.0,600601.SH,20260731,方正科技,NA,CNY
74.91,79.91,72.17,77.49,89890500.0,601208.SH,20260625,东材科技,NA,CNY
75.21,75.91,70.32,73.56,77268400.0,601208.SH,20260626,东材科技,NA,CNY
71.92,73.07,66.21,67.25,90961200.0,601208.SH,20260629,东材科技,NA,CNY
67.92,71.75,67.45,70.71,63192900.0,601208.SH,20260630,东材科技,NA,CNY
70.71,70.71,66.37,67.2,63496300.0,601208.SH,20260701,东材科技,NA,CNY
63.93,67.52,62.63,63.63,61176000.0,601208.SH,20260702,东材科技,NA,CNY
