pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
3858.245,,,,3858.245,,,,,,,000001.SH,2026-07-28
3590.7872,,,,3590.7872,,,,,,,399006.SZ,2026-07-28
