open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
48.9,58.17,48.9,54.96,258333500.0,000636.SZ,20260601,风华高科,NA,CNY
53.4,60.47,52.42,59.82,189966500.0,000636.SZ,20260602,风华高科,NA,CNY
59.0,61.57,56.71,60.45,202452400.0,000636.SZ,20260603,风华高科,NA,CNY
58.71,64.49,58.71,63.4,167870200.0,000636.SZ,20260604,风华高科,NA,CNY
59.91,62.07,57.87,59.56,169266300.0,000636.SZ,20260605,风华高科,NA,CNY
58.67,59.91,54.47,55.44,169982700.0,000636.SZ,20260608,风华高科,NA,CNY
55.71,60.99,53.78,60.99,158908100.0,000636.SZ,20260609,风华高科,NA,CNY
62.81,63.89,58.52,59.72,172618600.0,000636.SZ,20260610,风华高科,NA,CNY
59.92,65.69,59.41,64.2,183132900.0,000636.SZ,20260611,风华高科,NA,CNY
66.4,66.4,57.78,59.03,216914100.0,000636.SZ,20260612,风华高科,NA,CNY
61.4,64.93,60.61,64.93,143822000.0,000636.SZ,20260615,风华高科,NA,CNY
68.13,71.42,67.89,70.5,179543200.0,000636.SZ,20260616,风华高科,NA,CNY
69.87,73.98,68.77,73.95,164558300.0,000636.SZ,20260617,风华高科,NA,CNY
71.39,75.98,71.11,74.48,136338600.0,000636.SZ,20260618,风华高科,NA,CNY
74.49,75.63,70.22,72.87,156696100.0,000636.SZ,20260622,风华高科,NA,CNY
71.3,71.77,66.56,70.1,127286400.0,000636.SZ,20260623,风华高科,NA,CNY
69.4,73.39,68.89,72.27,130655600.0,000636.SZ,20260624,风华高科,NA,CNY
72.99,79.5,70.89,79.5,145051300.0,000636.SZ,20260625,风华高科,NA,CNY
77.38,80.41,77.22,78.38,141985600.0,000636.SZ,20260626,风华高科,NA,CNY
78.41,83.87,76.96,80.15,146520500.0,000636.SZ,20260629,风华高科,NA,CNY
72.13,72.13,72.13,72.13,44722600.0,000636.SZ,20260630,风华高科,NA,CNY
74.86,76.68,69.39,74.28,115295100.0,000636.SZ,20260701,风华高科,NA,CNY
69.71,71.06,66.86,66.86,86233100.0,000636.SZ,20260702,风华高科,NA,CNY
65.4,68.57,61.18,63.13,90675500.0,000636.SZ,20260703,风华高科,NA,CNY
64.89,65.68,58.21,58.41,81552800.0,000636.SZ,20260706,风华高科,NA,CNY
57.7,62.9,55.92,61.17,81971300.0,000636.SZ,20260707,风华高科,NA,CNY
61.77,62.98,57.41,60.61,74541600.0,000636.SZ,20260708,风华高科,NA,CNY
61.79,64.9,59.07,64.45,93822100.0,000636.SZ,20260709,风华高科,NA,CNY
64.7,66.28,60.0,60.01,104472600.0,000636.SZ,20260710,风华高科,NA,CNY
56.0,57.5,54.01,54.01,22290900.0,000636.SZ,20260713,风华高科,NA,CNY
52.12,59.41,50.23,59.41,133026600.0,000636.SZ,20260714,风华高科,NA,CNY
59.41,59.5,53.47,54.5,109111300.0,000636.SZ,20260715,风华高科,NA,CNY
52.91,56.05,50.67,51.7,93163600.0,000636.SZ,20260716,风华高科,NA,CNY
51.0,52.3,46.53,46.53,89449200.0,000636.SZ,20260717,风华高科,NA,CNY
46.53,47.3,41.88,41.88,82155900.0,000636.SZ,20260720,风华高科,NA,CNY
41.0,44.89,37.69,44.32,175268200.0,000636.SZ,20260721,风华高科,NA,CNY
43.55,45.6,40.88,41.3,134737600.0,000636.SZ,20260722,风华高科,NA,CNY
44.0,45.43,42.48,43.21,141776600.0,000636.SZ,20260723,风华高科,NA,CNY
42.52,43.34,40.16,40.22,101316500.0,000636.SZ,20260724,风华高科,NA,CNY
40.94,44.24,40.01,44.24,128292700.0,000636.SZ,20260727,风华高科,NA,CNY
43.11,45.5,42.4,43.19,161748100.0,000636.SZ,20260728,风华高科,NA,CNY
43.76,47.51,43.67,47.51,172632700.0,000636.SZ,20260729,风华高科,NA,CNY
48.67,52.26,46.38,50.5,267362200.0,000636.SZ,20260730,风华高科,NA,CNY
55.55,55.55,48.39,49.35,255741500.0,000636.SZ,20260731,风华高科,NA,CNY
