pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
11.58,,,,11.58,,0,,,,,600732.SH,2026-07-28
7.22,,,,7.22,,0,,,,,002459.SZ,2026-07-28
