pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
9.19,,,,9.19,,0,,,,,600601.SH,2026-08-03
34.33,,,,34.33,,0,,,,,601208.SH,2026-08-03
128.13,,,,128.13,,0,,,,,603256.SH,2026-08-03
