pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
308.0,,,,308.0,,0,,,,,002916.SZ,2026-08-03
27.51,,,,27.51,,0,,,,,002436.SZ,2026-08-03
