ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
600895.SH,202608031326,30.75,30.77,30.79,30.75,45300,1393995,-4.29,0.07
002222.SZ,202608031326,48.84,48.88,48.96,48.84,54600,2671037,-0.31,0.12
603650.SH,202608031326,51.3,51.37,51.37,51.3,46100,2366577,-5.2,0.16
