ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
600732.SH,202607281007,12.09,12.12,12.12,12.09,126600,1532414,4.66,0.25
002459.SZ,202607281007,7.22,7.22,7.22,7.21,228900,1651858,0.0,0.0
