ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
002938.SZ,202608031043,81.19,81.4,81.49,81.19,107600,8753733,-0.12,0.27
600183.SH,202608031043,101.82,102.44,102.49,101.82,211100,21579529,-3.03,0.78
603228.SH,202608031043,73.95,74.0,74.13,73.95,93100,6897335,1.79,0.09
