pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
81.5,,,,81.5,,0,,,,,002938.SZ,2026-08-03
105.64,,,,105.64,,0,,,,,600183.SH,2026-08-03
72.7,,,,72.7,,0,,,,,603228.SH,2026-08-03
