pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
32.15,,,,32.15,,0,,,,,600895.SH,2026-08-03
49.03,,,,49.03,,0,,,,,002222.SZ,2026-08-03
54.19,,,,54.19,,0,,,,,603650.SH,2026-08-03
