open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
116.13,122.98,116.0,120.56,38303900.0,002409.SZ,20260520,雅克科技,NA,CNY
122.73,125.0,113.63,113.9,42546200.0,002409.SZ,20260521,雅克科技,NA,CNY
114.75,118.18,110.32,116.5,34505300.0,002409.SZ,20260522,雅克科技,NA,CNY
119.33,128.15,115.55,128.15,39321500.0,002409.SZ,20260525,雅克科技,NA,CNY
125.54,126.19,119.6,123.21,39623400.0,002409.SZ,20260526,雅克科技,NA,CNY
125.0,127.48,117.3,118.41,30655600.0,002409.SZ,20260527,雅克科技,NA,CNY
114.82,116.9,110.94,115.36,28020600.0,002409.SZ,20260528,雅克科技,NA,CNY
115.84,117.6,106.23,107.67,30160300.0,002409.SZ,20260529,雅克科技,NA,CNY
108.0,110.8,104.59,104.99,21490000.0,002409.SZ,20260601,雅克科技,NA,CNY
104.87,112.0,103.4,109.63,25524800.0,002409.SZ,20260602,雅克科技,NA,CNY
110.19,116.0,110.1,113.8,24469400.0,002409.SZ,20260603,雅克科技,NA,CNY
111.5,120.0,111.48,117.78,27404400.0,002409.SZ,20260604,雅克科技,NA,CNY
113.74,119.09,111.41,115.0,25801400.0,002409.SZ,20260605,雅克科技,NA,CNY
107.66,110.0,104.7,105.62,23789500.0,002409.SZ,20260608,雅克科技,NA,CNY
108.79,111.5,105.81,111.41,21029500.0,002409.SZ,20260609,雅克科技,NA,CNY
107.95,122.55,107.1,122.55,33454700.0,002409.SZ,20260610,雅克科技,NA,CNY
126.22,134.81,124.0,134.81,57646100.0,002409.SZ,20260611,雅克科技,NA,CNY
140.01,144.5,131.81,132.99,66319200.0,002409.SZ,20260612,雅克科技,NA,CNY
133.32,138.88,128.0,138.83,40658800.0,002409.SZ,20260615,雅克科技,NA,CNY
137.45,143.6,135.05,137.76,36613900.0,002409.SZ,20260616,雅克科技,NA,CNY
137.0,149.22,136.0,147.92,37493200.0,002409.SZ,20260617,雅克科技,NA,CNY
146.44,151.6,143.85,150.16,31776000.0,002409.SZ,20260618,雅克科技,NA,CNY
152.86,165.18,152.86,165.18,34729600.0,002409.SZ,20260622,雅克科技,NA,CNY
160.03,167.8,155.2,157.32,35111600.0,002409.SZ,20260623,雅克科技,NA,CNY
155.0,173.05,155.0,173.05,32501300.0,002409.SZ,20260624,雅克科技,NA,CNY
184.0,186.5,172.0,181.03,40754600.0,002409.SZ,20260625,雅克科技,NA,CNY
180.0,195.2,178.2,188.6,35597700.0,002409.SZ,20260626,雅克科技,NA,CNY
199.13,207.46,191.18,207.46,41667700.0,002409.SZ,20260629,雅克科技,NA,CNY
