code,time,interval,ma5,ma10,ma20,ma60,expma12,expma50,sar,bollmb,bollup,bolldn,bbi,rsi6,rsi12,rsi24,k,d,j,dif,dea,macd,pdi,mdi,adx,adxr,bias6,bias12,bias24,wr6,wr10,cci,roc,maroc,lb,atr14
600732.SH,2026-07-28 10:07:00,1min,12.102,12.091,12.0765,11.845,12.088043,11.933434,12.04167,12.0765,12.131736,12.021264,12.089375,68.378119,65.440582,66.487863,59.931222,64.532352,50.728961,0.049894,0.059693,-0.019598,42.357293,12.914516,38.021257,29.128984,0.165289,0.275786,0.407318,50.0,33.333333,107.207207,0.41425,0.221266,0.397993,0.027857
002459.SZ,2026-07-28 10:07:00,1min,7.226,7.234,7.2435,7.218,7.233627,7.225002,7.27881,7.2435,7.27943,7.20757,7.231354,31.951505,42.193492,48.628705,12.950293,15.852863,7.145152,-0.001712,0.003409,-0.010241,11.089322,27.345567,25.351579,18.102727,-0.115287,-0.230309,-0.281982,66.666667,80.0,-134.591195,-0.413793,-0.48181,1.54704,0.015
